S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
2,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,419589,1487,421076,45.45,S1328
3,DAULAT KADAR KHAN,Vanchit Bahujan  Aaghadi,14571,86,14657,1.58,S1328
4,NANDESH VITHAL UMAP,Bahujan Samaj Party,8217,101,8318,0.9,S1328
5,DR. SUSHMA MAURYA,Independent,2886,5,2891,0.31,S1328
6,SANJAY B. PATIL,National People's Party,2757,7,2764,0.3,S1328
7,SANJU MARUTI PAWAR,Maharashtra Vikas Aghadi,2555,27,2582,0.28,S1328
8,PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,2338,35,2373,0.26,S1328
9,PREM RAMAPATI GUPTA,Independent,1598,3,1601,0.17,S1328
10,MOHAMMED AHMED SHAIKH,Independent,1289,5,1294,0.14,S1328
11,MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,1085,5,1090,0.12,S1328
12,VIDYA NAIK,Independent,974,5,979,0.11,S1328
13,BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,941,5,946,0.1,S1328
14,BANSODE DILIP,Independent,831,7,838,0.09,S1328
15,BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,742,4,746,0.08,S1328
16,DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,707,4,711,0.08,S1328
17,COMRADE SURENDRA SIBAG,All India Forward Bloc,675,3,678,0.07,S1328
18,SHAHAJI  NANAI THORAT,Independent,648,2,650,0.07,S1328
19,SANJAY SAOJI DESHPANDE,Republican Party of India,641,0,641,0.07,S1328
20,SANJAY PATIL,Independent,520,4,524,0.06,S1328
21,NOTA,None of the Above,10088,85,10173,1.1,S1328
1,DR. SHARMILA SARKAR,All India Trinamool Congress,717881,2421,720302,48.11,S2538
2,ASIM KUMAR SARKAR,Bharatiya Janata Party,557943,1787,559730,37.38,S2538
3,NIRAB KHAN,Communist Party of India  (Marxist),176358,541,176899,11.81,S2538
4,NIRMAL MAJHI,Socialist Unity Centre Of India (COMMUNIST),10964,12,10976,0.73,S2538
5,MUKUL BISWAS,Bahujan Samaj Party,7610,21,7631,0.51,S2538
6,SHARMILA SARKAR,Independent,4875,18,4893,0.33,S2538
7,SAJAL KUMAR DE,Communist Party of India  (Marxist-Leninist)  (Liberation),4163,19,4182,0.28,S2538
8,NOTA,None of the Above,12654,43,12697,0.85,S2538
1,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43,S2217
2,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,323751,2022,325773,29.79,S2217
3,KARMEGAN M,Naam Tamilar Katchi,82332,464,82796,7.57,S2217
4,P VIJAYAKUMAR,Tamil Maanila Congress  (Moopanar),77319,592,77911,7.13,S2217
5,P ESWARAN,Bahujan Samaj Party,5161,62,5223,0.48,S2217
6,T V R AMIRTHALINGAM,Independent,4118,31,4149,0.38,S2217
7,KEERTHANA M,Independent,3775,24,3799,0.35,S2217
8,J GOPALAKRISHNAN,Independent,1949,6,1955,0.18,S2217
9,S ANANTHI,Independent,1683,3,1686,0.15,S2217
10,PRASATH CHITRARASU,Independent,1629,11,1640,0.15,S2217
11,RAVICHANDRAN L,Independent,1378,2,1380,0.13,S2217
12,P RAJENDRAN,Independent,973,3,976,0.09,S2217
13,P KUPPUSAMY,Ulzaipali Makkal Katchy,945,5,950,0.09,S2217
14,M SHANMUGAM,Independent,768,4,772,0.07,S2217
15,R KUMARESAN,Independent,744,7,751,0.07,S2217
16,N ASHOK KUMAR,Independent,689,1,690,0.06,S2217
17,DHANALAKSHMI V,Naadaalum Makkal Katchi,675,4,679,0.06,S2217
18,A T MUNUSAMY,Samaniya Makkal Nala Katchi,611,5,616,0.06,S2217
19,K MAATHAN,Ganasangam Party of India,609,9,618,0.06,S2217
20,B DHARMARAJ,Anti Corruption Dynamic Party,597,4,601,0.05,S2217
21,ARUMUGA AC KANNAN,Independent,547,2,549,0.05,S2217
22,M SABARINATHAN,Independent,525,6,531,0.05,S2217
23,R DHANDAPANI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,502,2,504,0.05,S2217
24,R KUMAR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,424,8,432,0.04,S2217
25,R.MINNALMURUGESH,Independent,413,2,415,0.04,S2217
26,K K VADUGANATHAN,Independent,398,1,399,0.04,S2217
27,G MYLSAMY,Independent,301,0,301,0.03,S2217
28,MYLVAKANAN D -,Independent,276,3,279,0.03,S2217
29,M PRABAKARAN,Independent,274,2,276,0.03,S2217
30,NARENDRANATH,Independent,272,0,272,0.02,S2217
31,K SENTHIL KUMAR,Independent,177,1,178,0.02,S2217
32,NOTA,None of the Above,13742,241,13983,1.28,S2217
1,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2,S2469
2,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,345725,1479,347204,32.93,S2469
3,MASHHOD SABEEHA ANSARI,Bahujan Samaj Party,179189,650,179839,17.05,S2469
4,RAVINDRA NATH SHARMA,Moulik Adhikar Party,3038,4,3042,0.29,S2469
5,PARAS YADAV,Jan Raajya Party,2489,2,2491,0.24,S2469
6,SHASHIDHAR,Independent,2227,5,2232,0.21,S2469
7,MAHENDRA NATH YADAV,Moolniwasi Samaj Party,1904,1,1905,0.18,S2469
8,VIJAY KUMAR,Independent,1733,2,1735,0.16,S2469
9,PANKAJ KUMAR YADAV,Independent,1595,4,1599,0.15,S2469
10,NOTA,None of the Above,6211,23,6234,0.59,S2469
1,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,S2013
2,RAMCHANDRA CHOUDHARY,Indian National Congress,413685,3786,417471,34.76,S2013
3,RAMDEV,Bahujan Samaj Party,4896,48,4944,0.41,S2013
4,SURENDRA SINGH RANAVAT,Independent,4348,25,4373,0.36,S2013
5,MUKESH GENA,Bharatiya Yuva Jan Ekta Party,3187,9,3196,0.27,S2013
6,JITENDRA BOYAT,Aazad Samaj Party (Kanshi Ram),2608,25,2633,0.22,S2013
7,SATYANARAYAN MALI,Independent,2409,11,2420,0.2,S2013
8,VISHRAM BABU,Independent,1517,7,1524,0.13,S2013
9,SHABUDADIN,National Future Party,1190,7,1197,0.1,S2013
10,YUSUF,Independent,988,12,1000,0.08,S2013
11,PREM LATA,Independent,988,167,1155,0.1,S2013
12,BHAWARLAL SONI,Independent,868,70,938,0.08,S2013
13,RAMLAL,Akhil Bhartiya Aamjan Party,807,11,818,0.07,S2013
14,DAYA MOHAN GARG,Independent,644,2,646,0.05,S2013
15,NOTA,None of the Above,11290,112,11402,0.95,S2013
1,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,S193
2,KULBIR SINGH ZIRA,Indian National Congress,206286,1024,207310,19.8,S193
3,LALJIT SINGH BHULLAR,Aam Aadmi Party,194160,676,194836,18.61,S193
4,VIRSA SINGH VALTOHA,Shiromani Akali Dal,86291,125,86416,8.25,S193
5,MANJIT SINGH MANNA,Bharatiya Janata Party,85810,563,86373,8.25,S193
6,PARAMJIT SINGH,Independent,12522,3,12525,1.2,S193
7,CHAIN SINGH BAINKA,Aas Punjab Party,6728,11,6739,0.64,S193
8,SATNAM SINGH,Bahujan Samaj Party,5021,45,5066,0.48,S193
9,SARABJIT SINGH,Independent,4835,1,4836,0.46,S193
10,GURDIAL SINGH,Communist Party of India,3945,7,3952,0.38,S193
11,ANOKH SINGH KATWAL,Independent,2766,3,2769,0.26,S193
12,GURPREET SINGH,Independent,2609,0,2609,0.25,S193
13,AJIT SINGH,Independent,2528,7,2535,0.24,S193
14,ARUN KUMAR,Independent,2522,3,2525,0.24,S193
15,SURJIT SINGH BHIKHIWIND,Independent,2367,4,2371,0.23,S193
16,KAWALJIT SINGH,Independent,2290,4,2294,0.22,S193
17,HARJINDER SINGH,Independent,1969,1,1970,0.19,S193
18,KANWALJIT SINGH,Independent,1895,6,1901,0.18,S193
19,PARMINDER SINGH,Independent,1802,1,1803,0.17,S193
20,JASWANT SINGH SOHAL,Independent,1637,2,1639,0.16,S193
21,LAKHBIR SINGH,Independent,1420,1,1421,0.14,S193
22,VIKRAMJIT SINGH,Independent,1417,3,1420,0.14,S193
23,VIJAY KUMAR,Independent,1388,0,1388,0.13,S193
24,DILBAGH SINGH,All India Mazdoor Party (Rangreta),1363,11,1374,0.13,S193
25,SIMRANJEET SINGH,Independent,1338,3,1341,0.13,S193
26,MAHINDER SINGH HAMIRA,Independent,1044,2,1046,0.1,S193
27,NAVEEN KUMAR SHARMA,Sanjhi Virasat Party,823,1,824,0.08,S193
28,NOTA,None of the Above,3420,32,3452,0.33,S193
1,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82,S0433
2,MITHILESH TIWARI,Bharatiya Janata Party,405795,2459,408254,38.02,S0433
3,ANIL KUMAR,Bahujan Samaj Party,114312,402,114714,10.68,S0433
4,ANAND MISHRA S/O- PARAM HANS MISHRA,Independent,46527,882,47409,4.42,S0433
5,DADAN YADAV,Independent,15653,183,15836,1.47,S0433
6,SUDHAKAR MISHRA,Independent,12742,7,12749,1.19,S0433
7,SUNIL KUMAR DUBY,Independent,7757,2,7759,0.72,S0433
8,RAM SWAROOP CHAUHAN,Independent,5506,10,5516,0.51,S0433
9,RAJU SINGH,Bahujan Mukti Party,4322,17,4339,0.4,S0433
10,AANAND MISRA S/O MADAN KUMAR MISRA,Independent,2697,137,2834,0.26,S0433
11,BHAGWAN SINGH YADAV,Independent,2045,8,2053,0.19,S0433
12,NIRANJAN KUMAR RAY,Independent,1667,2,1669,0.16,S0433
13,HEM LATA,Jagrook Janta Party,1554,16,1570,0.15,S0433
14,AKHILESH KUMAR PANDEY,Independent,1089,6,1095,0.1,S0433
15,NOTA,None of the Above,9572,45,9617,0.9,S0433
1,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,S2016
2,KARAN SINGH UCHIYARDA,Indian National Congress,608228,6151,614379,44.4,S2016
3,SUNIL KUMAR PAREEK,Independent,7424,5,7429,0.54,S2016
4,MANJU MEGHWAL,Bahujan Samaj Party,6347,48,6395,0.46,S2016
5,ANANDARAM URF ANAND CHAUHAN,Aazad Samaj Party (Kanshi Ram),3662,18,3680,0.27,S2016
6,SUNIL BHANDARI,Independent,3236,2,3238,0.23,S2016
7,VISHEK VISHNOI,Independent,1718,32,1750,0.13,S2016
8,SHIVA RAM,Independent,1191,4,1195,0.09,S2016
9,LIKHAMA RAM,Independent,1123,2,1125,0.08,S2016
10,NARESH KANDARA,Independent,1007,20,1027,0.07,S2016
11,SATYANARAYAN,Bharatiya Sampuran Krantikari Party,776,6,782,0.06,S2016
12,PAPPU DAN,Right to Recall Party,650,4,654,0.05,S2016
13,SHAHNAZ BANO,Dalit Kranti Dal,546,1,547,0.04,S2016
14,RAM DAYAL BISHNOI,Rashtriya Janshakti Party (Secular),491,12,503,0.04,S2016
15,BHOM SINGH,Indian Peoples Green Party,483,4,487,0.04,S2016
16,NOTA,None of the Above,10511,80,10591,0.77,S2016
1,MOHMAD HANEEFA,Independent,64443,816,65259,48.15,U091
2,TSERING NAMGYAL,Indian National Congress,35770,1627,37397,27.59,U091
3,TASHI GYALSON,Bharatiya Janata Party,31505,451,31956,23.58,U091
4,NOTA,None of the Above,896,16,912,0.67,U091
1,MURASOLI S,Dravida Munnetra Kazhagam,498822,3423,502245,48.82,S2230
2,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182172,490,182662,17.76,S2230
3,MURUGANANTHAM M,Bharatiya Janata Party,169587,1026,170613,16.59,S2230
4,HUMAYUN KABIR,Naam Tamilar Katchi,119683,610,120293,11.69,S2230
5,RENGASAMY C,Independent,18130,61,18191,1.77,S2230
6,SARAVANAN M,Independent,6730,65,6795,0.66,S2230
7,SENTHIL KUMAR N,Independent,4133,25,4158,0.4,S2230
8,EZHILARASAN S,Independent,3834,17,3851,0.37,S2230
9,JAYABAL A,Bahujan Samaj Party,2400,10,2410,0.23,S2230
10,SANTHOSH M,Independent,1982,10,1992,0.19,S2230
11,ER ARJUN S,Independent,1440,6,1446,0.14,S2230
12,KARIKALA CHOLAN S,Independent,1209,8,1217,0.12,S2230
13,NOTA,None of the Above,12674,159,12833,1.25,S2230
1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,607293,6078,613371,50.35,S271
2,TALA MARANDI,Bharatiya Janata Party,430544,4563,435107,35.72,S271
3,LOBIN HEMBRAM,Independent,41592,548,42140,3.46,S271
4,GOPIN SOREN,Communist Party of India  (Marxist),37191,100,37291,3.06,S271
5,MAHESH PAHARIYA,Independent,14950,28,14978,1.23,S271
6,AJIT MARANDI,Rashtriya Jansambhavna Party,11243,8,11251,0.92,S271
7,SEBASTION HEMBROM,Independent,9492,1,9493,0.78,S271
8,MARIYAM MARANDI,Bahujan Samaj Party,8225,34,8259,0.68,S271
9,PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7854,48,7902,0.65,S271
10,DIPA TUDU,Independent,6847,9,6856,0.56,S271
11,KHALIFA KISKU,Peoples Party of India (Democratic),4092,15,4107,0.34,S271
12,VINOD KUMAR MANDAL,Lokhit Adhikar Party,3774,35,3809,0.31,S271
13,MUNSHI KISKU,Navyug Pragatisheel Morcha,2777,2,2779,0.23,S271
14,LILI HANSDA,Samata Party,2682,7,2689,0.22,S271
15,NOTA,None of the Above,18119,98,18217,1.5,S271
1,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,S2022
2,DR. DAMODAR GURJAR,Indian National Congress,385359,3621,388980,32.06,S2022
3,RAMAKISHAN BHADU,Bahujan Samaj Party,9097,38,9135,0.75,S2022
4,NEERU RAM KAPRI,Independent,7820,11,7831,0.65,S2022
5,DHARAM SINGH RAWAT,Independent,3993,60,4053,0.33,S2022
6,NARAYAN SONI,Independent,3367,7,3374,0.28,S2022
7,GHANSHYAM SINGH,Bhartiya Jan Adhikar Party,1917,23,1940,0.16,S2022
8,JITENDRA KUMAR KHATIK,Independent,1802,13,1815,0.15,S2022
9,DR. ARPIT CHHAJER,Independent,1235,9,1244,0.1,S2022
10,PRAMOD KUMAR VERMA,Bheem Tribal Congress,1134,10,1144,0.09,S2022
11,NOTA,None of the Above,12339,72,12411,1.02,S2022
1,MAHUA MOITRA,All India Trinamool Congress,624711,4078,628789,44.1,S2512
2,AMRITA ROY,Bharatiya Janata Party,567628,4456,572084,40.13,S2512
3,S.M. SADI,Communist Party of India  (Marxist),179063,1138,180201,12.64,S2512
4,SANJIT BISWAS,Independent,8660,11,8671,0.61,S2512
5,SOURAV HELA,Independent,5061,4,5065,0.36,S2512
6,NEMAI BISWAS,Independent,5047,22,5069,0.36,S2512
7,AMAL CHANDRA SARKAR,Bahujan Samaj Party,5045,55,5100,0.36,S2512
8,AFROJA KHATUN MONDAL,All India Secular Front,4284,14,4298,0.3,S2512
9,ISMAT ARA MONDAL,Socialist Unity Centre Of India (COMMUNIST),3603,19,3622,0.25,S2512
10,MD. MUKTAR SHAIKH,Independent,3287,7,3294,0.23,S2512
11,ALIK KUMAR KUNDU,Independent,2699,9,2708,0.19,S2512
12,NOTA,None of the Above,6754,57,6811,0.48,S2512
1,RAMESH AWASTHI,Bharatiya Janata Party,440609,2446,443055,49.93,S2443
2,ALOK MISRA,Indian National Congress,419469,2618,422087,47.56,S2443
3,KULDEEP BHADAURIYA,Bahujan Samaj Party,11843,189,12032,1.36,S2443
4,ASHOK PASWAN ADVOCATE,Sabhi Jan Party,1969,5,1974,0.22,S2443
5,ALOK MISHRA,Independent,1186,12,1198,0.14,S2443
6,MANOJ KUMAR,Independent,776,2,778,0.09,S2443
7,AJAY KUMAR MISHRA,Independent,671,1,672,0.08,S2443
8,PRASHAST DHEER,All India Forward Bloc,462,3,465,0.05,S2443
9,ARVIND KUMAR SRIVASTAVA,Independent,394,4,398,0.04,S2443
10,SANJAY SINGH,"Proutist Bloc, India",348,2,350,0.04,S2443
11,VALENDRA KATIYAR,Socialist Unity Centre Of India (COMMUNIST),267,3,270,0.03,S2443
12,NOTA,None of the Above,4048,69,4117,0.46,S2443
1,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,759603,7326,766929,61.29,S2917
2,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,297592,1490,299082,23.9,S2917
3,VINOD RAO TANDRA,Bharatiya Janata Party,117075,1561,118636,9.48,S2917
4,VASAM RAMAKRISHNA DORA,Independent,6200,15,6215,0.5,S2917
5,ULLENGALA YADAGIRI,Independent,6063,1,6064,0.48,S2917
6,ADVOCATE YERRA KAAMESH,Bahujan Samaj Party,6030,71,6101,0.49,S2917
7,KUKKALA NAGAIAH,Alliance of Democratic Reforms Party,5724,19,5743,0.46,S2917
8,KATUKOJWALA NAGESWAR RAO,Independent,4111,3,4114,0.33,S2917
9,CHILAKABATHINI STALIN,Independent,3112,1,3113,0.25,S2917
10,SHAIK BAJI BABA,Independent,2422,2,2424,0.19,S2917
11,KASIMALLA NAGESWARA RAO,Independent,2232,5,2237,0.18,S2917
12,BANDARU NAGARAJU,Independent,2122,0,2122,0.17,S2917
13,SHAIK KHALEEL PASHA,Independent,2023,5,2028,0.16,S2917
14,EDURUGATLA CHITTI MALLU,Independent,1848,6,1854,0.15,S2917
15,GANGIREDDY KOTI REDDY,Independent,1789,1,1790,0.14,S2917
16,SHAIK SIRAJUDDIN,Independent,1661,2,1663,0.13,S2917
17,SHAIK AJJULU,Independent,1342,0,1342,0.11,S2917
18,KOPPULA SRINIVASA RAO,Jaibhim Rao Bharat Party,1271,2,1273,0.1,S2917
19,MADDISETTY YERRAPPA @ AJAY,Independent,1043,10,1053,0.08,S2917
20,SHAIK MOHMED RASOOL,Independent,1021,1,1022,0.08,S2917
21,LINGALA RAVI KUMAR,Independent,1017,1,1018,0.08,S2917
22,AVUTAPALLI RAMBABU,Independent,948,2,950,0.08,S2917
23,TEJAVATH JOGRAM NAIK,Independent,914,5,919,0.07,S2917
24,ANWAR RAICE,Socialist Party (India),754,0,754,0.06,S2917
25,ANANDA PRASAD KASINA,Pyramid Party of India,714,4,718,0.06,S2917
26,LINGAIAH DANDA,Independent,693,7,700,0.06,S2917
27,ANIL KUMAR MADDINENI,Independent,689,4,693,0.06,S2917
28,PAPETLA RAMAMURTHY,Sakala Janula Party,659,2,661,0.05,S2917
29,ANTHONI SURESH,Bahujana Left Party,607,9,616,0.05,S2917
30,M. RAVI CHANDAR CHOWHAN,Independent,597,4,601,0.05,S2917
31,THAMBALLA RAVI,Independent,503,5,508,0.04,S2917
32,BHATTU SRINIVAS,Jai Bharat National Party,472,4,476,0.04,S2917
33,NAGESWARA RAO LAKAVATH,Independent,363,5,368,0.03,S2917
34,MALAMPATI SURYANARAYANA,Independent,362,1,363,0.03,S2917
35,MUTYAM ARJUNA RAJU,Independent,349,2,351,0.03,S2917
36,NOTA,None of the Above,6657,125,6782,0.54,S2917
1,ROBERT BRUCE C,Indian National Congress,499493,2803,502296,47.06,S2238
2,NAINAR NAGENTHRAN,Bharatiya Janata Party,334431,2245,336676,31.54,S2238
3,JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,88996,605,89601,8.39,S2238
4,SATHYA,Naam Tamilar Katchi,86918,768,87686,8.21,S2238
5,POTTAL SUNDARA MUNISWARAN,Independent,19802,50,19852,1.86,S2238
6,ATHISAYAM V,Independent,3744,37,3781,0.35,S2238
7,BALASUBRAMANIAN,Bahujan Samaj Party,2044,23,2067,0.19,S2238
8,CHINNA MAHARAJA K,Independent,1888,7,1895,0.18,S2238
9,DAVID M,Independent,1829,7,1836,0.17,S2238
10,SAMUEL LAWRENCE PONNIAH,Independent,1493,4,1497,0.14,S2238
11,BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1457,18,1475,0.14,S2238
12,LENIN K,Independent,1441,9,1450,0.14,S2238
13,CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1409,4,1413,0.13,S2238
14,SELVA KUMAR S,Bahujan Dravida Party,1317,29,1346,0.13,S2238
15,KUMAR V,Puthiya Makkal Tamil Desam Katchi,1057,15,1072,0.1,S2238
16,MUTHURAMAN A,Aravor Munnetra Kazhagam,1046,2,1048,0.1,S2238
17,THALAPATHY MURUGAN M,Independent,913,4,917,0.09,S2238
18,SIVARAM K,Independent,855,20,875,0.08,S2238
19,RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,0,790,0.07,S2238
20,SURESH,Independent,777,11,788,0.07,S2238
21,DR RAJENDRA RETNAM K,Independent,685,4,689,0.06,S2238
22,SEVAL KANNAN B ADVOCATE,Independent,622,14,636,0.06,S2238
23,RAGHAVAN C M,Independent,364,2,366,0.03,S2238
24,NOTA,None of the Above,7285,111,7396,0.69,S2238
1,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,518334,1856,520190,40.14,S1348
2,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),504181,2583,506764,39.1,S1348
3,RAJU SHETTI,Swabhimani Paksha,178866,984,179850,13.88,S1348
4,D. C. PATIL DADASAHEB / DADGONDA CHAVGONDA PATIL,Vanchit Bahujan  Aaghadi,32591,105,32696,2.52,S1348
5,ASLAM AINODIN MULLA,Independent,6107,4,6111,0.47,S1348
6,ANANDRAO VASANTRAO SARNAIK (FOUJI BAPU),Independent,4944,11,4955,0.38,S1348
7,TANDALE LAXMAN SHIVAJI,Independent,4788,1,4789,0.37,S1348
8,PROF. PARASHURAM MANE,Independent,4467,10,4477,0.35,S1348
9,KAMBLE RAVINDRA TUKARAM,Bahujan Samaj Party,3968,65,4033,0.31,S1348
10,SATYAJEET PATIL (AABA),Independent,3602,30,3632,0.28,S1348
11,ANANDRAO TUKARAM THORAT,Independent,3497,2,3499,0.27,S1348
12,IMRAN IQBAL KHATIB,Bahujan Mukti Party,3172,18,3190,0.25,S1348
13,RAGHUNATHDADA PATIL,Bharatheeya Jawan Kisan Party,2146,28,2174,0.17,S1348
14,JAVED SIKANDAR MUJAVAR,Independent,1849,3,1852,0.14,S1348
15,SANTOSH KERBA KHOT,Kamgaar Kisan Party,1697,4,1701,0.13,S1348
16,DR. ISHWAR MAHADEV YAMGAR,Bharatiya Lokshakti Party,1520,17,1537,0.12,S1348
17,SHIVAJI DHONDIRAM SANKPAL,Independent,1390,2,1392,0.11,S1348
18,SHARAD BABURAO PATIL,National Black Panther Party,1356,5,1361,0.11,S1348
19,MANOHAR PRADIP SATPUTE,Independent,1063,3,1066,0.08,S1348
20,DHANAJI JAGANNATH GURAV (SHIVAREKAR),Lokrajya Janata Party,1054,7,1061,0.08,S1348
21,DAVARI LAXMAN SHRIPATI,Independent,1004,5,1009,0.08,S1348
22,RAJENDRA BHIMRAO MANE,Independent,935,5,940,0.07,S1348
23,DINAKARRAO TULSHIDAS CHAVAN (PATIL),All India Forward Bloc,674,5,679,0.05,S1348
24,RAMCHANDRA GOVINDRAO SALUNKHE,Independent,618,0,618,0.05,S1348
25,MOHITE DEVENDRA NANA,Independent,559,1,560,0.04,S1348
26,MANE ARVIND BHIVA,Independent,422,2,424,0.03,S1348
27,MAHAMMAD MUBARAK DARAVESHI,Independent,360,1,361,0.03,S1348
28,NOTA,None of the Above,5027,76,5103,0.39,S1348
1,ISHA KHAN CHOUDHURY,Indian National Congress,570966,1429,572395,41.79,S258
2,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,441531,2496,444027,32.42,S258
3,SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress,299825,1201,301026,21.98,S258
4,PURNOCHANDRA MANDAL,Independent,8381,2,8383,0.61,S258
5,AHMED HEDATUL HASAN,Independent,5735,1,5736,0.42,S258
6,MD. JAMAL SAIKH,Independent,5386,0,5386,0.39,S258
7,BIKASH RABIDAS,Bahujan Samaj Party,5054,11,5065,0.37,S258
8,BIJOY KUMAR SARKAR,Independent,4773,3,4776,0.35,S258
9,SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party,3521,14,3535,0.26,S258
10,AMAL KUMAR RABIDAS,Independent,3263,8,3271,0.24,S258
11,KAVIR MADAN DAS,Ambedkarite Party of India,3137,3,3140,0.23,S258
12,ASIM MANDAL,Jan Sangh Party,2786,2,2788,0.2,S258
13,MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India,2315,8,2323,0.17,S258
14,JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party,2075,0,2075,0.15,S258
15,ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),1178,11,1189,0.09,S258
16,MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party,1130,6,1136,0.08,S258
17,MD MONIRUL HASAN,Jamat-E-Seratul Mustakim,737,4,741,0.05,S258
18,NOTA,None of the Above,2759,38,2797,0.2,S258
1,R.K. CHAUDHARY,Samajwadi Party,666560,1309,667869,48.49,S2434
2,KAUSHAL KISHORE,Bharatiya Janata Party,596197,1380,597577,43.38,S2434
3,RAJESH KUMAR,Bahujan Samaj Party,88257,204,88461,6.42,S2434
4,MAHENDRA,Independent,2654,7,2661,0.19,S2434
5,SUSHIL KUMAR,Independent,2626,1,2627,0.19,S2434
6,RAMESH KUMAR,Independent,1839,2,1841,0.13,S2434
7,SUNITA CHHEDA PASI,Aam Janta Party (India),1736,13,1749,0.13,S2434
8,S. L.SINGH,Peoples Party of India (Democratic),1711,6,1717,0.12,S2434
9,BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,1648,7,1655,0.12,S2434
10,JITENDRA KUMAR,Independent,1402,12,1414,0.1,S2434
11,SURAJ KUMAR,Sardar Patel Siddhant Party,1010,5,1015,0.07,S2434
12,NOTA,None of the Above,8838,28,8866,0.64,S2434
1,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,S0120
2,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88,S0120
3,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89,S0120
4,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57,S0120
5,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38,S0120
6,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16,S0120
7,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14,S0120
8,S N SURESH,Independent,1611,20,1631,0.12,S0120
9,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09,S0120
10,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09,S0120
11,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09,S0120
12,S RAGHUNATHA REDDY,Independent,693,17,710,0.05,S0120
13,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05,S0120
14,NOTA,None of the Above,17826,145,17971,1.27,S0120
1,DAROGA PRASAD SAROJ,Samajwadi Party,437567,2392,439959,43.85,S2468
2,NEELAM SONKER,Bharatiya Janata Party,324106,830,324936,32.38,S2468
3,INDU CHAUDHRI,Bahujan Samaj Party,209308,745,210053,20.93,S2468
4,GANGADEEN,Communist Party of India,12263,8,12271,1.22,S2468
5,BALINDAR,Janta Kranti Party (Rashtravadi),4157,1,4158,0.41,S2468
6,SUSHMITA SAROJ,Independent,2621,5,2626,0.26,S2468
7,RAM PYARE SHARAN VIJAITA,Independent,2337,4,2341,0.23,S2468
8,NOTA,None of the Above,7075,19,7094,0.71,S2468
1,SAPTAGIRI SANKAR ULAKA,Indian National Congress,469295,2098,471393,41.03,S1821
